name,description,type_id,power,energy,cooldown_time,attack_speed_id
Acid,The opposing Pokémon is attacked with a spray of harsh acid.,14,10,7,1.05,2
Bite,The target is bitten with viciously sharp fangs.,2,6,7,0.5,2
Bubble,A spray of countless bubbles is jetted at the opposing Pokémon.,18,25,15,2.3,2
Bug Bite,The user bites the target.,1,5,7,0.45,2
Bullet Punch,The user strikes the target with tough punches as fast as bullets.,17,10,7,1.2,2
Confusion,The target is hit by a weak telekinetic force.,15,15,7,1.51,2
Cut,Slashes at the target.,13,12,7,1.13,2
Dragon Breath,The user exhales a mighty gust that inflicts damage.,3,6,7,0.5,2
Ember,The target is attacked with small flames.,7,10,7,1.05,2
Feint Attack,"The user approaches the target disarmingly, then throws a sucker punch.",2,12,7,1.04,2
Fire Fang,The user bites with flame-cloaked fangs.,7,10,4,0.84,2
Frost Breath,The user blows its cold breath on the target.,12,9,7,0.81,2
Fury Cutter,The target is slashed with scythes or claws.,1,3,12,0.4,2
Ice Shard,The user flash-freezes chunks of ice and hurls them at the target.,12,15,7,1.4,2
Karate Chop,The target is attacked with a sharp chop. Critical hits land more easily..,6,6,7,0.8,2
Lick,"The target is licked with a long tongue, causing damage.",9,5,7,0.5,2
Low Kick,A powerful low kick that makes the target fall over.,6,5,7,0.6,2
Metal Claw,The target is raked with steel claws.,17,8,7,0.63,2
Mud Shot,The user attacks by hurling a blob of mud at the target.,11,6,7,0.55,2
Mud Slap,The user hurls mud in the target's face to inflict damage and lower its accuracy.,11,15,9,1.35,2
Peck,The target is jabbed with a sharply pointed beak or horn.,8,10,10,1.15,2
Poison Jab,The target is stabbed with a tentacle or arm steeped in poison.,14,12,7,1.05,2
Poison Sting,The user stabs the target with a poisonous stinger.,14,6,4,0.58,2
Pound,"The target is physically pounded with a long tail, a foreleg, or the like.",13,7,7,0.54,2
Psycho Cut,The user tears at the target with blades formed by psychic power. Critical hits land more easily.,15,7,7,0.57,2
Quick Attack,The user lunges at the target at a speed that makes it almost invisible.,13,10,7,1.33,2
Razor Leaf,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily..,10,15,7,1.45,2
Rock Smash,The user attacks with a punch.,6,15,7,1.41,2
