name,description
Jogger,Walk a certain distance
Kanto,Register Pokémon in your Pokédex
Collector,Capture Pokémon
Scientist,Evolve Pokémon
Breeder,Hatch Eggs
Backpacker,Visit PokéStops
Fisherman,Capture Large Magikarp
Battle Girl,Win Gym Battles
Ace Trainer,Train at a gym you control
SchoolKid,Capture Normal-type Pokémon
Black Belt,Capture Fighting-type Pokémon
Bird Keeper,Capture Flying-type Pokémon
Punk Girl,Capture Poison-type Pokémon
Ruin Maniac,Capture Ground-type Pokémon
Hiker,Capture Rock-type Pokémon
Bug Catcher,Capture Bug-type Pokémon
Hex Maniac,Capture Ghost-type Pokémon
Depot Agent,Capture Steel-type Pokémon
Kindler,Capture Fire-type Pokémon
Swimmer,Capture Water-type Pokémon
Gardener,Capture Grass-type Pokémon
Rocker,Capture Electric-type Pokémon
Psychic,Capture Psychic-type Pokémon
Skier Tale Girl,Capture Ice-type Pokémon
Dragon Tamer,Capture Dragon-type Pokémon
Fairy Tale Girl,Capture Fairy-type Pokémon
Youngster,Capture Tiny Rattata
Pikachu,Capture Pikachu
