medal_id,medal_level_id,count
1,1,10
1,2,100
1,3,1000
2,1,5
2,2,50
2,3,100
3,1,30
3,2,500
3,3,2000
4,1,3
4,2,20
4,3,200
5,1,10
5,2,100
5,3,500
6,1,100
6,2,1000
6,3,2000
7,1,3
7,2,50
7,3,300
8,1,10
8,2,100
8,3,1000
9,1,10
9,2,100
9,3,1000
10,1,10
10,2,50
10,3,200
11,1,10
11,2,50
11,3,200
12,1,10
12,2,50
12,3,200
13,1,10
13,2,50
13,3,200
14,1,10
14,2,50
14,3,200
15,1,10
15,2,50
15,3,200
16,1,10
16,2,50
16,3,200
17,1,10
17,2,50
17,3,200
18,1,10
18,2,50
18,3,200
19,1,10
19,2,50
19,3,200
20,1,10
20,2,50
20,3,200
21,1,10
21,2,50
21,3,200
22,1,10
22,2,50
22,3,200
23,1,10
23,2,50
23,3,200
24,1,10
24,2,50
24,3,200
25,1,10
25,2,50
25,3,200
26,1,10
26,2,50
26,3,200
27,1,3
27,2,50
27,3,300
28,1,3
28,2,50
28,3,300
