team_id,appraisal_overall_id,dialog
1,1,"Overall, your ${pokemon_name} is not likely to make much headway in battle."
1,2,"Overall, your ${pokemon_name} is above average."
1,3,"Overall, your ${pokemon_name} has certainly caught my attention."
1,4,"Overall, your ${pokemon_name} is a wonder! What a breathtaking Pokemon!"
2,1,"Overall, your ${pokemon_name} may not be great in battle, but I still like it!"
2,2,"Overall, your ${pokemon_name} is a decent Pokemon."
2,3,"Overall, your ${pokemon_name} is a strong Pokemon. You should be proud!"
2,4,"Overall, your ${pokemon_name} simply amazes me. It can accomplish anything!"
3,1,"Overall, your ${pokemon_name} has room for improvement as far as battling goes."
3,2,"Overall, your ${pokemon_name} is pretty decent!"
3,3,"Overall, your ${pokemon_name} is really strong! "
3,4,"Overall, your ${pokemon_name} looks like it can really battle with the best of them!"
