team_id,appraisal_size_id,dialog
1,1,Your ${pokemon_name} is tinier than any we have on record. Astounding.
1,2,Your ${pokemon_name} is below average in size.
1,3,Your ${pokemon_name} is above average in size.
1,4,The size of your ${pokemon_name} is... colossal. This is indeed exceptional. Fascinating!
2,1,"Your ${pokemon_name} is so tiny, I almost didn't notice it!"
2,2,"Aww, what a small ${pokemon_name}! It's rather cute, I'd say."
2,3,"Your ${pokemon_name} is rather sizable, that's for sure!"
2,4,Your ${pokemon_name} is gigantic—the largest I've ever seen!
3,1,Wh-whoa. That's the tiniest ${pokemon_name} I've ever seen!
3,2,"Your ${pokemon_name} is a little small for its kind, don't you think?"
3,3,Your ${pokemon_name} is a BIG one!
3,4,Your ${pokemon_name} is just HUGE!
