from_type_id,to_type_id,effectiveness_id
1,2,2
1,10,2
1,15,2
1,16,1
1,7,1
1,8,1
2,2,2
2,9,2
2,15,2
2,6,1
2,1,1
2,5,1
3,3,1
3,3,2
3,5,1
3,12,1
4,8,2
4,18,2
4,11,1
5,2,2
5,3,2
5,6,2
5,14,1
5,17,1
6,8,1
6,5,1
6,2,2
6,12,2
6,13,2
6,16,2
6,17,2
6,15,1
7,11,1
7,16,1
7,1,2
7,10,2
7,12,2
7,17,2
7,18,1
8,16,1
8,1,2
8,6,2
8,10,2
8,4,1
8,12,1
9,2,1
9,9,1
9,2,2
9,9,2
9,15,2
10,12,1
10,14,1
10,11,2
10,16,2
10,18,2
10,1,1
10,7,1
10,8,1
11,10,1
11,12,1
11,18,1
11,4,2
11,7,2
11,14,2
11,16,2
11,17,2
12,7,1
12,16,1
12,17,1
12,3,2
12,8,2
12,10,2
12,11,2
12,6,1
13,6,1
14,11,1
14,15,1
14,5,2
14,10,2
15,1,1
15,2,1
15,6,2
15,14,2
15,9,1
16,6,1
16,1,2
16,10,1
16,7,2
16,8,2
16,11,1
16,12,2
16,17,1
16,18,1
17,11,1
17,6,1
17,7,1
17,5,2
17,12,2
17,16,2
18,4,1
18,10,1
18,7,2
18,11,2
18,16,2
